#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q5SQX6	uniprotkb:Q7L576	intact:EBI-773783|uniprotkb:Q3UH21|uniprotkb:Q3UHS8|uniprotkb:Q8BSW0|uniprotkb:Q8CHA9|uniprotkb:Q924D3|uniprotkb:Q9R181	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:cyfp2_mouse(display_long)|uniprotkb:Kiaa1168(gene name synonym)|uniprotkb:Pir121(gene name synonym)|uniprotkb:p53-inducible protein 121(gene name synonym)|uniprotkb:Cyfip2(gene name)|psi-mi:Cyfip2(display_short)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Kumar et al. (2013)	pubmed:24357318|doi:10.1126/science.1245503|imex:IM-24255	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(DIP)	intact:EBI-16086797|imex:IM-24255-2|dip:DIP-198809E	intact-miscore:0.35
uniprotkb:Q3ZCQ8-2	uniprotkb:Q7L576	intact:EBI-16400236	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:q3zcq8-2(display_long)|uniprotkb:TIMM50(gene name)|psi-mi:TIMM50(display_short)|uniprotkb:TIM50(gene name synonym)|uniprotkb:PRO1512(orf name)|uniprotkb:Tim50a(isoform synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21581953|imex:IM-25778-2277	intact-miscore:0.35
uniprotkb:Q96EV8-2	uniprotkb:Q7L576	intact:EBI-16749183	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:q96ev8-2(display_long)|uniprotkb:DTNBP1(gene name)|psi-mi:DTNBP1(display_short)|uniprotkb:BLOC1S8(gene name synonym)|uniprotkb:Biogenesis of lysosome-related organelles complex 1 subunit 8(gene name synonym)|uniprotkb:Dysbindin-1(gene name synonym)|uniprotkb:Dystrobrevin-binding protein 1(gene name synonym)|uniprotkb:Hermansky-Pudlak syndrome 7 protein(gene name synonym)|uniprotkb:My031(orf name)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21651992|imex:IM-25778-2541	intact-miscore:0.35
uniprotkb:Q9UPY6	uniprotkb:Q7L576	intact:EBI-3907133|uniprotkb:O94974|uniprotkb:Q86VQ2	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:wasf3_human(display_long)|uniprotkb:WASF3(gene name)|psi-mi:WASF3(display_short)|uniprotkb:KIAA0900(gene name synonym)|uniprotkb:SCAR3(gene name synonym)|uniprotkb:WAVE3(gene name synonym)|uniprotkb:Protein WAVE-3(gene name synonym)|uniprotkb:Verprolin homology domain-containing protein 3(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21852540|imex:IM-25778-6307	intact-miscore:0.35
uniprotkb:O43639	uniprotkb:Q7L576	intact:EBI-713635|uniprotkb:D3DVK1|uniprotkb:Q9BWN9|uniprotkb:Q9UIC3	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:nck2_human(display_long)|uniprotkb:GRB4(gene name synonym)|uniprotkb:Growth factor receptor-bound protein 4(gene name synonym)|uniprotkb:NCK adaptor protein 2(gene name synonym)|uniprotkb:SH2/SH3 adaptor protein NCK-beta(gene name synonym)|uniprotkb:NCK2(gene name)|psi-mi:NCK2(display_short)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21521290|imex:IM-25778-6027	intact-miscore:0.35
uniprotkb:P63000-1	uniprotkb:Q7L576	intact:EBI-7212896|uniprotkb:P15154-1|intact:MINT-124079	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:p63000-1(display_long)|uniprotkb:RAC1(gene name)|psi-mi:RAC1(display_short)|uniprotkb:Cell migration-inducing gene 5 protein(gene name synonym)|uniprotkb:Ras-like protein TC25(gene name synonym)|uniprotkb:TC25(gene name synonym)|uniprotkb:p21-Rac1(gene name synonym)|uniprotkb:MIG5(orf name)|uniprotkb:Rac1A(isoform synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0096"(pull down)	Chen et al. (2010)	pubmed:21107423|doi:10.1038/nature09623|imex:IM-21510	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(DIP)	intact:EBI-15894549|imex:IM-21510-1|dip:DIP-103067E	intact-miscore:0.53
uniprotkb:Q9NYB9	uniprotkb:Q7L576	intact:EBI-743598|uniprotkb:B4DSN1|uniprotkb:Q13147|uniprotkb:Q13249|uniprotkb:Q13801|uniprotkb:Q9BV70	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:abi2_human(display_long)|uniprotkb:Abelson interactor 2(gene name synonym)|uniprotkb:Abl-binding protein 3(gene name synonym)|uniprotkb:Arg-binding protein 1(gene name synonym)|uniprotkb:ABI2(gene name)|psi-mi:ABI2(display_short)|uniprotkb:ARGBPIA(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0114"(x-ray crystallography)	Chen et al. (2010)	pubmed:21107423|doi:10.1038/nature09623|imex:IM-21510	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-15894605|imex:IM-21510-3|dip:DIP-103064E	intact-miscore:0.83
uniprotkb:Q9NYB9	uniprotkb:Q7L576	intact:EBI-743598|uniprotkb:B4DSN1|uniprotkb:Q13147|uniprotkb:Q13249|uniprotkb:Q13801|uniprotkb:Q9BV70	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:abi2_human(display_long)|uniprotkb:Abelson interactor 2(gene name synonym)|uniprotkb:Abl-binding protein 3(gene name synonym)|uniprotkb:Arg-binding protein 1(gene name synonym)|uniprotkb:ABI2(gene name)|psi-mi:ABI2(display_short)|uniprotkb:ARGBPIA(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0226"(ion exchange chromatography)	Chen et al. (2010)	pubmed:21107423|doi:10.1038/nature09623|imex:IM-21510	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-15894630|imex:IM-21510-4|dip:DIP-103064E	intact-miscore:0.83
uniprotkb:Q9NYB9	uniprotkb:Q7L576	intact:EBI-743598|uniprotkb:B4DSN1|uniprotkb:Q13147|uniprotkb:Q13249|uniprotkb:Q13801|uniprotkb:Q9BV70	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:abi2_human(display_long)|uniprotkb:Abelson interactor 2(gene name synonym)|uniprotkb:Abl-binding protein 3(gene name synonym)|uniprotkb:Arg-binding protein 1(gene name synonym)|uniprotkb:ABI2(gene name)|psi-mi:ABI2(display_short)|uniprotkb:ARGBPIA(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0020"(transmission electron microscopy)	Chen et al. (2010)	pubmed:21107423|doi:10.1038/nature09623|imex:IM-21510	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-15894706|imex:IM-21510-7|dip:DIP-103064E	intact-miscore:0.83
uniprotkb:Q9Y6W5	uniprotkb:Q7L576	intact:EBI-4290615|uniprotkb:B4DZN0|uniprotkb:O60794|uniprotkb:Q9UDY7	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:wasf2_human(display_long)|uniprotkb:WASF2(gene name)|psi-mi:WASF2(display_short)|uniprotkb:WAVE2(gene name synonym)|uniprotkb:Protein WAVE-2(gene name synonym)|uniprotkb:Verprolin homology domain-containing protein 2(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Chen et al. (2010)	pubmed:21107423|doi:10.1038/nature09623|imex:IM-21510	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(DIP)	intact:EBI-15894678|imex:IM-21510-6|dip:DIP-191814E	intact-miscore:0.35
uniprotkb:Q9NYB9	uniprotkb:Q7L576	intact:EBI-743598|uniprotkb:B4DSN1|uniprotkb:Q13147|uniprotkb:Q13249|uniprotkb:Q13801|uniprotkb:Q9BV70	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:abi2_human(display_long)|uniprotkb:Abelson interactor 2(gene name synonym)|uniprotkb:Abl-binding protein 3(gene name synonym)|uniprotkb:Arg-binding protein 1(gene name synonym)|uniprotkb:ABI2(gene name)|psi-mi:ABI2(display_short)|uniprotkb:ARGBPIA(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0071"(molecular sieving)	Chen et al. (2010)	pubmed:21107423|doi:10.1038/nature09623|imex:IM-21510	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-15894654|imex:IM-21510-5|dip:DIP-103064E	intact-miscore:0.83
uniprotkb:Q9Y2A7	uniprotkb:Q7L576	intact:EBI-389845|dip:DIP-31119N|uniprotkb:O60329|uniprotkb:Q53QN5|uniprotkb:Q53S94|uniprotkb:Q53Y35	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:nckp1_human(display_long)|uniprotkb:NCKAP1(gene name)|psi-mi:NCKAP1(display_short)|uniprotkb:HEM2(gene name synonym)|uniprotkb:KIAA0587(gene name synonym)|uniprotkb:NAP1(gene name synonym)|uniprotkb:p125Nap1(gene name synonym)|uniprotkb:Membrane-associated protein HEM-2(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0096"(pull down)	Chen et al. (2010)	pubmed:21107423|doi:10.1038/nature09623|imex:IM-21510	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-15894731|imex:IM-21510-8|dip:DIP-66914E	intact-miscore:0.81
uniprotkb:Q5HYW2	uniprotkb:Q7L576	intact:EBI-2859639|uniprotkb:B2RN94|uniprotkb:A0A0J9YY34	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:nhsl2_human(display_long)|uniprotkb:NHSL2(gene name)|psi-mi:NHSL2(display_short)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21762959|imex:IM-25778-9509	intact-miscore:0.35
uniprotkb:Q400G9	uniprotkb:Q7L576	intact:EBI-21768765|uniprotkb:B3KRS0|uniprotkb:Q8TF51	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:amz1_human(display_long)|uniprotkb:Archeobacterial metalloproteinase-like protein 1(gene name synonym)|uniprotkb:AMZ1(gene name)|psi-mi:AMZ1(display_short)|uniprotkb:KIAA1950(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21768785|imex:IM-25778-3035	intact-miscore:0.35
uniprotkb:Q9NYB9-2	uniprotkb:Q7L576	intact:EBI-11096309	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:q9nyb9-2(display_long)|uniprotkb:ABI2(gene name)|psi-mi:ABI2(display_short)|uniprotkb:ARGBPIA(gene name synonym)|uniprotkb:Abelson interactor 2(gene name synonym)|uniprotkb:Abl-binding protein 3(gene name synonym)|uniprotkb:Arg-binding protein 1(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21786440|imex:IM-25778-8401	intact-miscore:0.35
uniprotkb:Q6NT52	uniprotkb:Q7L576	intact:EBI-21804273|uniprotkb:B9ZVM5|uniprotkb:H9KV56	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:cgb2_human(display_long)|uniprotkb:CGB2(gene name)|psi-mi:CGB2(display_short)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21804311|imex:IM-25778-4543	intact-miscore:0.35
uniprotkb:Q70UQ0-4	uniprotkb:Q7L576	intact:EBI-12190633	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:q70uq0-4(display_long)|uniprotkb:IKBIP(gene name)|psi-mi:IKBIP(display_short)|uniprotkb:IKIP(gene name synonym)|uniprotkb:IKIP1(isoform synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21813594|imex:IM-25778-797	intact-miscore:0.35
uniprotkb:Q9NYB9	uniprotkb:Q7L576	intact:EBI-743598|uniprotkb:B4DSN1|uniprotkb:Q13147|uniprotkb:Q13249|uniprotkb:Q13801|uniprotkb:Q9BV70	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:abi2_human(display_long)|uniprotkb:Abelson interactor 2(gene name synonym)|uniprotkb:Abl-binding protein 3(gene name synonym)|uniprotkb:Arg-binding protein 1(gene name synonym)|uniprotkb:ABI2(gene name)|psi-mi:ABI2(display_short)|uniprotkb:ARGBPIA(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0071"(molecular sieving)	Ismail et al. (2009)	pubmed:19363480|doi:10.1038/nsmb.1587|imex:IM-14269	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-15768357|imex:IM-14269-2|dip:DIP-103064E	intact-miscore:0.83
uniprotkb:P63000-1	uniprotkb:Q7L576	intact:EBI-7212896|uniprotkb:P15154-1|intact:MINT-124079	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:p63000-1(display_long)|uniprotkb:RAC1(gene name)|psi-mi:RAC1(display_short)|uniprotkb:Cell migration-inducing gene 5 protein(gene name synonym)|uniprotkb:Ras-like protein TC25(gene name synonym)|uniprotkb:TC25(gene name synonym)|uniprotkb:p21-Rac1(gene name synonym)|uniprotkb:MIG5(orf name)|uniprotkb:Rac1A(isoform synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0096"(pull down)	Ismail et al. (2009)	pubmed:19363480|doi:10.1038/nsmb.1587|imex:IM-14269	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(DIP)	intact:EBI-15768401|imex:IM-14269-4|dip:DIP-103068E	intact-miscore:0.53
uniprotkb:Q9NYB9	uniprotkb:Q7L576	intact:EBI-743598|uniprotkb:B4DSN1|uniprotkb:Q13147|uniprotkb:Q13249|uniprotkb:Q13801|uniprotkb:Q9BV70	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:abi2_human(display_long)|uniprotkb:Abelson interactor 2(gene name synonym)|uniprotkb:Abl-binding protein 3(gene name synonym)|uniprotkb:Arg-binding protein 1(gene name synonym)|uniprotkb:ABI2(gene name)|psi-mi:ABI2(display_short)|uniprotkb:ARGBPIA(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0071"(molecular sieving)	Ismail et al. (2009)	pubmed:19363480|doi:10.1038/nsmb.1587|imex:IM-14269	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-15768434|imex:IM-14269-5|dip:DIP-103064E	intact-miscore:0.83
uniprotkb:P63000-1	uniprotkb:Q7L576	intact:EBI-7212896|uniprotkb:P15154-1|intact:MINT-124079	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:p63000-1(display_long)|uniprotkb:RAC1(gene name)|psi-mi:RAC1(display_short)|uniprotkb:Cell migration-inducing gene 5 protein(gene name synonym)|uniprotkb:Ras-like protein TC25(gene name synonym)|uniprotkb:TC25(gene name synonym)|uniprotkb:p21-Rac1(gene name synonym)|uniprotkb:MIG5(orf name)|uniprotkb:Rac1A(isoform synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0096"(pull down)	Ismail et al. (2009)	pubmed:19363480|doi:10.1038/nsmb.1587|imex:IM-14269	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(DIP)	intact:EBI-15768458|imex:IM-14269-6|dip:DIP-103067E	intact-miscore:0.53
